name,feedUrl
‎Apple Podcasts －《偷先生恋爱法》,http://www.ximalaya.com/album/3045554.xml
‎Apple Podcasts －《The Melissa Ambrosini Show》,https://rss.acast.com/the-melissa-ambrosini-show
‎Apple Podcasts －《All in the Mind》,https://podcasts.files.bbci.co.uk/b006qxx9.rss
‎Apple Podcasts －《NEJM Journal Watch Podcasts: Clinical Conversations》,https://podcasts.jwatch.org/?feed=podcast
‎Apple Podcasts －《正念冥想|100天见证蜕变的自己》,http://www.ximalaya.com/album/26533044.xml
‎Apple Podcasts －《Meditation Minis Podcast》,https://feeds.podcastmirror.com/meditation-minis-podcast
‎Apple Podcasts －《The Peter Attia Drive》,http://peterattiadrive.libsyn.com/rss
‎Apple Podcasts －《Ten Percent Happier with Dan Harris》,https://feeds.castfire.com/abc-news-radio/ten_percent_happier
‎Apple Podcasts －《偷先生恋爱法》,http://rss.kaolafm.com/MZ_RSS/rss/1100000012715/album.xml
‎Apple Podcasts －《Bulletproof Radio》,https://rss.art19.com/bulletproof-radio
‎Apple Podcasts －《Get Sleepy》,https://feeds.simplecast.com/IXxBBvKz
‎Apple Podcasts －《心理FM》,http://rss.kaolafm.com/MZ_RSS/rss/1100000046056/album.xml
‎Apple Podcasts －《Life Kit》,https://feeds.npr.org/510338/podcast.xml
‎Apple Podcasts －《JAMA Clinical Reviews》,http://jamaclinicalreviews.jamanetwork.libsynpro.com/rss
‎Apple Podcasts －《肯園香氣相談室》,https://anchor.fm/s/13a17080/podcast/rss
‎Apple Podcasts －《Steve说》,https://feeds.fireside.fm/steve/rss
‎Apple Podcasts －《Happier with Gretchen Rubin》,https://feeds.megaphone.fm/happier
‎Apple Podcasts －《Daily Meditation Podcast》,http://thedailymeditationpodcast.libsyn.com/rss
